OneView IEC 61400-25-2 Edition 2,NODE,TAGName,Description,SI Unit,Type,DataType,CollectorType
WAVL.CnttAvl,WAVL.,CnttAvl,Contractual availability during turbine lifetime,percent,Live Value,Double,Live Value
WAVL.CnttAvl_10m_End,WAVL.,CnttAvl_10m_End,"Contractual availability during turbine lifetime, 10 minute end",percent,Live Value,Double,10 minute tag
WAVL.CnttAvl_Dly_Sum,WAVL.,CnttAvl_Dly_Sum,Contractual availability in each Daily period,percent,Summation,Double,Daily tag
WAVL.CnttAvl_Mly_Sum,WAVL.,CnttAvl_Mly_Sum,Contractual availability in each Monthly period,percent,Summation,Double,Monthly tag
WAVL.CnttAvl_Wly_Sum,WAVL.,CnttAvl_Wly_Sum,Contractual availability in each Weekly period,percent,Summation,Double,Weekly tag
WAVL.CnttAvl_Yly_Sum,WAVL.,CnttAvl_Yly_Sum,Contractual availability in each Yearly period,percent,Summation,Double,Yearly tag
WAVL.Ia,WAVL.,Ia,Information available,Enum,,Long,
WAVL.Iafm,WAVL.,Iafm,Information available force majeure,Enum,,Long,
WAVL.Iano,WAVL.,Iano,Information available nonoperative,Enum,,Long,
WAVL.Ianofo,WAVL.,Ianofo,Information available nonoperative forced outage,Enum,,Long,
WAVL.Ianopca,WAVL.,Ianopca,Information available nonoperative planned corrective actions,Enum,,Long,
WAVL.Ianos,WAVL.,Ianos,Information available nonoperative suspended,Enum,,Long,
WAVL.Ianosm,WAVL.,Ianosm,Information available nonoperative scheduled maintenance,Enum,,Long,
WAVL.Iao,WAVL.,Iao,Information available operative,Enum,,Long,
WAVL.Iaog,WAVL.,Iaog,Information available operative generating,Enum,,Long,
WAVL.Iaogfp,WAVL.,Iaogfp,Information available operative generating with full performance,Enum,,Long,
WAVL.Iaogpp,WAVL.,Iaogpp,Information available operative generating with partial performance,Enum,,Long,
WAVL.Iaong,WAVL.,Iaong,Information available operative nongenerating,Enum,,Long,
WAVL.Iaongel,WAVL.,Iaongel,Information available operative nongenerating out of electrical specification,Enum,,Long,
WAVL.Iaongen,WAVL.,Iaongen,Information available operative nongenerating out of environmental specification,Enum,,Long,
WAVL.Iaongrs,WAVL.,Iaongrs,Information available operative nongenerating requested shutdown,Enum,,Long,
WAVL.Iaongts,WAVL.,Iaongts,Information available operative nongenerating technical standby,Enum,,Long,
WAVL.Iu,WAVL.,Iu,Information unavailable,Enum,,Long,
WAVL.OpTmsRs,WAVL.,OpTmsRs,Operation time in seconds (implementation specific),seconds,,Long,
WAVL.PwrAvl,WAVL.,PwrAvl,Powerbased availability,percent,Live Value,Double,Live Value
WAVL.PwrAvl_Dly_Sum,WAVL.,PwrAvl_Dly_Sum,Powerbased availability in each Daily period,percent,Summation,Double,Daily tag
WAVL.PwrAvl_Mly_Sum,WAVL.,PwrAvl_Mly_Sum,Powerbased availability in each Monthly period,percent,Summation,Double,Monthly tag
WAVL.PwrAvl_Wly_Sum,WAVL.,PwrAvl_Wly_Sum,Powerbased availability in each Weekly period,percent,Summation,Double,Weekly tag
WAVL.PwrAvl_Yly_Sum,WAVL.,PwrAvl_Yly_Sum,Powerbased availability in each Yearly period,percent,Summation,Double,Yearly tag
WAVL.SysAvl,WAVL.,SysAvl,System availability (implementation specific),percent,,Double,
WAVL.TurAvl,WAVL.,TurAvl,Turbine availability (implementation specific),percent,Live Value,Double,Live Value
WAVL.TurAvl_10m_End,WAVL.,TurAvl_10m_End,"Turbine availability (implementation specific),  10 minute end",percent,Live Value,Double,10 minute tag
WAVL.TurAvl_Dly_Sum,WAVL.,TurAvl_Dly_Sum,Turbine availability (implementation specific) in each Daily period,percent,Summation,Double,Daily tag
WAVL.TurAvl_Mly_Sum,WAVL.,TurAvl_Mly_Sum,Turbine availability (implementation specific) in each Monthly period,percent,Summation,Double,Monthly tag
WAVL.TurAvl_Wly_Sum,WAVL.,TurAvl_Wly_Sum,Turbine availability (implementation specific) in each Weekly period,percent,Summation,Double,Weekly tag
WAVL.TurAvl_Yly_Sum,WAVL.,TurAvl_Yly_Sum,Turbine availability (implementation specific) in each Yearly period,percent,Summation,Double,Yearly tag
WCNV.AuxTrfTmp,WCNV.,AuxTrfTmp,Auxiliary transformer temperature,�C,Live Value,Double,Live Value
WCNV.AuxTrfTmp_10m_Avg,WCNV.,AuxTrfTmp_10m_Avg,Auxiliary transformer temperature,�C,Average,Double,10 minute tag
WCNV.AuxTrfTmp_10m_Max,WCNV.,AuxTrfTmp_10m_Max,Auxiliary transformer temperature,�C,Maximum,Double,10 minute tag
WCNV.AuxTrfTmp_10m_Min,WCNV.,AuxTrfTmp_10m_Min,Auxiliary transformer temperature,�C,Minimum,Double,10 minute tag
WCNV.AuxTrfTmp_10m_Std,WCNV.,AuxTrfTmp_10m_Std,Auxiliary transformer temperature,�C,Standard Deviation,Double,10 minute tag
WCNV.BusBarTmp,WCNV.,BusBarTmp,BusBar Temperature inside the converter,�C,Live Value,Double,Live Value
WCNV.BusBarTmp_10m_Avg,WCNV.,BusBarTmp_10m_Avg,BusBar Temperature inside the converter,�C,Average,Double,10 minute tag
WCNV.BusBarTmp_10m_Max,WCNV.,BusBarTmp_10m_Max,BusBar Temperature inside the converter,�C,Maximum,Double,10 minute tag
WCNV.BusBarTmp_10m_Min,WCNV.,BusBarTmp_10m_Min,BusBar Temperature inside the converter,�C,Minimum,Double,10 minute tag
WCNV.BusBarTmp_10m_Std,WCNV.,BusBarTmp_10m_Std,BusBar Temperature inside the converter,�C,Standard Deviation,Double,10 minute tag
WCNV.BypassCnt,WCNV.,BypassCnt,Number of activations of the bypass contactor,Count,Total Counter,Long,Live Value
WCNV.BypassCnt_10m_End,WCNV.,BypassCnt_10m_End,Number of activations of the bypass contactor,Count,Total Counter,Long,10 minute tag
WCNV.BypassTms,WCNV.,BypassTms,Time the by-pass contactor has been activated,seconds,Total Counter,Long,Live Value
WCNV.BypassTms_10m_End,WCNV.,BypassTms_10m_End,Time the by-pass contactor has been activated,seconds,Total Counter,Long,10 minute tag
WCNV.ClAirTmp,WCNV.,ClAirTmp,Converter cooling Air temperature,�C,Live Value,Double,Live Value
WCNV.ClAirTmp_10m_Avg,WCNV.,ClAirTmp_10m_Avg,Converter cooling Air temperature,�C,Average,Double,10 minute tag
WCNV.ClAirTmp_10m_Max,WCNV.,ClAirTmp_10m_Max,Converter cooling Air temperature,�C,Maximum,Double,10 minute tag
WCNV.ClAirTmp_10m_Min,WCNV.,ClAirTmp_10m_Min,Converter cooling Air temperature,�C,Minimum,Double,10 minute tag
WCNV.ClAirTmp_10m_Std,WCNV.,ClAirTmp_10m_Std,Converter cooling Air temperature,�C,Standard Deviation,Double,10 minute tag
WCNV.ClSt,WCNV.,ClSt,Status of converter cooling system,Enum,Live Value,Long,Live Value
WCNV.ClWtrTmp,WCNV.,ClWtrTmp,Converter cooling water temperature,�C,Live Value,Double,Live Value
WCNV.ClWtrTmp_10m_Avg,WCNV.,ClWtrTmp_10m_Avg,Converter cooling water temperature,�C,Average,Double,10 minute tag
WCNV.ClWtrTmp_10m_Max,WCNV.,ClWtrTmp_10m_Max,Converter cooling water temperature,�C,Maximum,Double,10 minute tag
WCNV.ClWtrTmp_10m_Min,WCNV.,ClWtrTmp_10m_Min,Converter cooling water temperature,�C,Minimum,Double,10 minute tag
WCNV.ClWtrTmp_10m_Std,WCNV.,ClWtrTmp_10m_Std,Converter cooling water temperature,�C,Standard Deviation,Double,10 minute tag
WCNV.CnvOpSt,WCNV.,CnvOpSt,Converter Operation Status,Enum,Live Value,Long,Live Value
WCNV.CtlPnlFanCnt,WCNV.,CtlPnlFanCnt,Number of activations of the control panel fan,Count,Total Counter,Long,Live Value
WCNV.CtlPnlFanCnt_10m_End,WCNV.,CtlPnlFanCnt_10m_End,Number of activations of the control panel fan,Count,Total Counter,Long,10 minute tag
WCNV.CtlPnlFanTms,WCNV.,CtlPnlFanTms,Time control panel fan has been activated,seconds,Total Counter,Long,Live Value
WCNV.CtlPnlFanTms_10m_End,WCNV.,CtlPnlFanTms_10m_End,Time control panel fan has been activated,seconds,Total Counter,Long,10 minute tag
WCNV.CtlPnlHtCnt,WCNV.,CtlPnlHtCnt,Number of activations of control panel heater,Count,Total Counter,Long,Live Value
WCNV.CtlPnlHtCnt_10m_End,WCNV.,CtlPnlHtCnt_10m_End,Number of activations of control panel heater,Count,Total Counter,Long,10 minute tag
WCNV.CtlPnlHtTms,WCNV.,CtlPnlHtTms,Time control panel heat has been activated,seconds,Total Counter,Long,Live Value
WCNV.CtlPnlHtTms_10m_End,WCNV.,CtlPnlHtTms_10m_End,Time control panel heat has been activated,seconds,Total Counter,Long,10 minute tag
WCNV.CtlPnlTmp,WCNV.,CtlPnlTmp,Control panel temperature,�C,Live Value,Double,Live Value
WCNV.CtlPnlTmp_10m_Avg,WCNV.,CtlPnlTmp_10m_Avg,Control panel temperature,�C,Average,Double,10 minute tag
WCNV.CtlPnlTmp_10m_Max,WCNV.,CtlPnlTmp_10m_Max,Control panel temperature,�C,Maximum,Double,10 minute tag
WCNV.CtlPnlTmp_10m_Min,WCNV.,CtlPnlTmp_10m_Min,Control panel temperature,�C,Minimum,Double,10 minute tag
WCNV.CtlPnlTmp_10m_Std,WCNV.,CtlPnlTmp_10m_Std,Control panel temperature,�C,Standard Deviation,Double,10 minute tag
WCNV.CtlTmp,WCNV.,CtlTmp,Converter panel temperature,�C,Live Value,Double,Live Value
WCNV.CtlTmp_10m_Avg,WCNV.,CtlTmp_10m_Avg,Converter panel temperature,�C,Average,Double,10 minute tag
WCNV.CtlTmp_10m_Max,WCNV.,CtlTmp_10m_Max,Converter panel temperature,�C,Maximum,Double,10 minute tag
WCNV.CtlTmp_10m_Min,WCNV.,CtlTmp_10m_Min,Converter panel temperature,�C,Minimum,Double,10 minute tag
WCNV.CtlTmp_10m_Std,WCNV.,CtlTmp_10m_Std,Converter panel temperature,�C,Standard Deviation,Double,10 minute tag
WCNV.CtlTmp1,WCNV.,CtlTmp1,Converter panel 1 temperature,�C,Live Value,Double,Live Value
WCNV.CtlTmp1_10m_Avg,WCNV.,CtlTmp1_10m_Avg,Converter panel 1 temperature,�C,Average,Double,10 minute tag
WCNV.CtlTmp2,WCNV.,CtlTmp2,Converter panel 2 temperature,�C,Live Value,Double,Live Value
WCNV.CtlTmp2_10m_Avg,WCNV.,CtlTmp2_10m_Avg,Converter panel 2 temperature,�C,Average,Double,10 minute tag
WCNV.DclA,WCNV.,DclA,DC-link current inside converter,A,,Double,
WCNV.DclTmp,WCNV.,DclTmp,DC-link Temperature inside the converter,�C,Live Value,Double,Live Value
WCNV.DclTmp_10m_Avg,WCNV.,DclTmp_10m_Avg,DC-link Temperature inside the converter,�C,Average,Double,10 minute tag
WCNV.DclTmp_10m_Max,WCNV.,DclTmp_10m_Max,DC-link Temperature inside the converter,�C,Maximum,Double,10 minute tag
WCNV.DclTmp_10m_Min,WCNV.,DclTmp_10m_Min,DC-link Temperature inside the converter,�C,Minimum,Double,10 minute tag
WCNV.DclTmp_10m_Std,WCNV.,DclTmp_10m_Std,DC-link Temperature inside the converter,�C,Standard Deviation,Double,10 minute tag
WCNV.DclV,WCNV.,DclV,DC-link voltage inside converter,V,Live Value,Double,Live Value
WCNV.DclV_10m_Avg,WCNV.,DclV_10m_Avg,DC-link voltage inside converter,V,Average,Double,10 minute tag
WCNV.DclV_10m_Max,WCNV.,DclV_10m_Max,DC-link voltage inside converter,V,Maximum,Double,10 minute tag
WCNV.DclV_10m_Min,WCNV.,DclV_10m_Min,DC-link voltage inside converter,V,Minimum,Double,10 minute tag
WCNV.DclV_10m_Std,WCNV.,DclV_10m_Std,DC-link voltage inside converter,V,Standard Deviation,Double,10 minute tag
WCNV.DmdTorq,WCNV.,DmdTorq,Converter Torque set-point,Enum,Live Value,Double,Live Value
WCNV.DmdTorq_10m_Avg,WCNV.,DmdTorq_10m_Avg,Converter Torque set-point,Enum,Average,Double,10 minute tag
WCNV.DmdTorq_10m_Max,WCNV.,DmdTorq_10m_Max,Converter Torque set-point,Enum,Maximum,Double,10 minute tag
WCNV.DmdTorq_10m_Min,WCNV.,DmdTorq_10m_Min,Converter Torque set-point,Enum,Minimum,Double,10 minute tag
WCNV.DmdTorq_10m_Std,WCNV.,DmdTorq_10m_Std,Converter Torque set-point,Enum,Standard Deviation,Double,10 minute tag
WCNV.G1Cnt,WCNV.,G1Cnt,Number of activations of the generator 1 contactor,Count,Total Counter,Long,Live Value
WCNV.G1Cnt_10m_End,WCNV.,G1Cnt_10m_End,Number of activations of the generator 1 contactor,Count,Total Counter,Long,10 minute tag
WCNV.G1OpTms,WCNV.,G1OpTms,Time the Generator 1 contactor has been activated,seconds,Total Counter,Long,Live Value
WCNV.G1OpTms_10m_End,WCNV.,G1OpTms_10m_End,Time the Generator 1 contactor has been activated,seconds,Total Counter,Long,10 minute tag
WCNV.G2Cnt,WCNV.,G2Cnt,Number of activations of the generator 2 contactor,Count,Total Counter,Long,Live Value
WCNV.G2Cnt_10m_End,WCNV.,G2Cnt_10m_End,Number of activations of the generator 2 contactor,Count,Total Counter,Long,10 minute tag
WCNV.G2OpTms,WCNV.,G2OpTms,Time the Generator 2 contactor has been activated,seconds,Total Counter,Long,Live Value
WCNV.G2OpTms_10m_End,WCNV.,G2OpTms_10m_End,Time the Generator 2 contactor has been activated,seconds,Total Counter,Long,10 minute tag
WCNV.GnA,WCNV.,GnA,Generator side 3 phase current,A,,Double,
WCNV.GnA1,WCNV.,GnA1,Current of phase L1 at the generator side,A,Live Value,Double,Live Value
WCNV.GnA2,WCNV.,GnA2,Current of phase L2 at the generator side,A,Live Value,Double,Live Value
WCNV.GnA3,WCNV.,GnA3,Current of phase L3 at the generator side,A,Live Value,Double,Live Value
WCNV.GnHz,WCNV.,GnHz,Generator side frequency,Hz,,Double,
WCNV.GnPF,WCNV.,GnPF,Generator side 3 phase power factor,PF,,Double,
WCNV.GnPNV,WCNV.,GnPNV,Voltage of all three phases between phase and neutral at the converter level (Generator side),V,Live Value,Double,Live Value
WCNV.GnPNV_10m_Avg,WCNV.,GnPNV_10m_Avg,Voltage of all three phases between phase and neutral at the converter level (Generator side),V,Average,Double,10 minute tag
WCNV.GnPNV_10m_Max,WCNV.,GnPNV_10m_Max,Voltage of all three phases between phase and neutral at the converter level (Generator side),V,Maximum,Double,10 minute tag
WCNV.GnPNV_10m_Min,WCNV.,GnPNV_10m_Min,Voltage of all three phases between phase and neutral at the converter level (Generator side),V,Minimum,Double,10 minute tag
WCNV.GnPNV_10m_Std,WCNV.,GnPNV_10m_Std,Voltage of all three phases between phase and neutral at the converter level (Generator side),V,Standard Deviation,Double,10 minute tag
WCNV.GnPNV1,WCNV.,GnPNV1,Voltage between phase L1 and neutral at the converter level (Generator side),V,Live Value,Double,Live Value
WCNV.GnPNV1_10m_Avg,WCNV.,GnPNV1_10m_Avg,Voltage between phase L1 and neutral at the converter level (Generator side),V,Average,Double,10 minute tag
WCNV.GnPNV1_10m_Max,WCNV.,GnPNV1_10m_Max,Voltage between phase L1 and neutral at the converter level (Generator side),V,Maximum,Double,10 minute tag
WCNV.GnPNV1_10m_Min,WCNV.,GnPNV1_10m_Min,Voltage between phase L1 and neutral at the converter level (Generator side),V,Minimum,Double,10 minute tag
WCNV.GnPNV1_10m_Std,WCNV.,GnPNV1_10m_Std,Voltage between phase L1 and neutral at the converter level (Generator side),V,Standard Deviation,Double,10 minute tag
WCNV.GnPNV2,WCNV.,GnPNV2,Voltage between phase L2 and neutral at the converter level (Generator side),V,Live Value,Double,Live Value
WCNV.GnPNV2_10m_Avg,WCNV.,GnPNV2_10m_Avg,Voltage between phase L2 and neutral at the converter level (Generator side),V,Average,Double,10 minute tag
WCNV.GnPNV2_10m_Max,WCNV.,GnPNV2_10m_Max,Voltage between phase L2 and neutral at the converter level (Generator side),V,Maximum,Double,10 minute tag
WCNV.GnPNV2_10m_Min,WCNV.,GnPNV2_10m_Min,Voltage between phase L2 and neutral at the converter level (Generator side),V,Minimum,Double,10 minute tag
WCNV.GnPNV2_10m_Std,WCNV.,GnPNV2_10m_Std,Voltage between phase L2 and neutral at the converter level (Generator side),V,Standard Deviation,Double,10 minute tag
WCNV.GnPNV3,WCNV.,GnPNV3,Voltage between phase L3 and neutral at the converter level (Generator side),V,Live Value,Double,Live Value
WCNV.GnPNV3_10m_Avg,WCNV.,GnPNV3_10m_Avg,Voltage between phase L3 and neutral at the converter level (Generator side),V,Average,Double,10 minute tag
WCNV.GnPNV3_10m_Max,WCNV.,GnPNV3_10m_Max,Voltage between phase L3 and neutral at the converter level (Generator side),V,Maximum,Double,10 minute tag
WCNV.GnPNV3_10m_Min,WCNV.,GnPNV3_10m_Min,Voltage between phase L3 and neutral at the converter level (Generator side),V,Minimum,Double,10 minute tag
WCNV.GnPNV3_10m_Std,WCNV.,GnPNV3_10m_Std,Voltage between phase L3 and neutral at the converter level (Generator side),V,Standard Deviation,Double,10 minute tag
WCNV.GnPPV,WCNV.,GnPPV,Generator side 3 phase phase-to-phase voltage,V,,Double,
WCNV.GnTmp,WCNV.,GnTmp,Converter temperature generator side,�C,Live Value,Double,Live Value
WCNV.GnTmp_10m_Avg,WCNV.,GnTmp_10m_Avg,Converter temperature generator side,�C,Average,Double,10 minute tag
WCNV.GnTmp_10m_Max,WCNV.,GnTmp_10m_Max,Converter temperature generator side,�C,Maximum,Double,10 minute tag
WCNV.GnTmp_10m_Min,WCNV.,GnTmp_10m_Min,Converter temperature generator side,�C,Minimum,Double,10 minute tag
WCNV.GnTmp_10m_Std,WCNV.,GnTmp_10m_Std,Converter temperature generator side,�C,Standard Deviation,Double,10 minute tag
WCNV.GnTmp1,WCNV.,GnTmp1,"Converter temperature phase L1, generator side",�C,Live Value,Double,Live Value
WCNV.GnTmp1_10m_Avg,WCNV.,GnTmp1_10m_Avg,"Converter temperature phase L1, generator side",�C,Average,Double,10 minute tag
WCNV.GnTmp1_10m_Max,WCNV.,GnTmp1_10m_Max,"Converter temperature phase L1, generator side",�C,Maximum,Double,10 minute tag
WCNV.GnTmp1_10m_Min,WCNV.,GnTmp1_10m_Min,"Converter temperature phase L1, generator side",�C,Minimum,Double,10 minute tag
WCNV.GnTmp1_10m_Std,WCNV.,GnTmp1_10m_Std,"Converter temperature phase L1, generator side",�C,Standard Deviation,Double,10 minute tag
WCNV.GnTmp2,WCNV.,GnTmp2,"Converter temperature phase L2, generator side",�C,Live Value,Double,Live Value
WCNV.GnTmp2_10m_Avg,WCNV.,GnTmp2_10m_Avg,"Converter temperature phase L2, generator side",�C,Average,Double,10 minute tag
WCNV.GnTmp2_10m_Max,WCNV.,GnTmp2_10m_Max,"Converter temperature phase L2, generator side",�C,Maximum,Double,10 minute tag
WCNV.GnTmp2_10m_Min,WCNV.,GnTmp2_10m_Min,"Converter temperature phase L2, generator side",�C,Minimum,Double,10 minute tag
WCNV.GnTmp2_10m_Std,WCNV.,GnTmp2_10m_Std,"Converter temperature phase L2, generator side",�C,Standard Deviation,Double,10 minute tag
WCNV.GnTmp3,WCNV.,GnTmp3,"Converter temperature phase L3, generator side",�C,Live Value,Double,Live Value
WCNV.GnTmp3_10m_Avg,WCNV.,GnTmp3_10m_Avg,"Converter temperature phase L3, generator side",�C,Average,Double,10 minute tag
WCNV.GnTmp3_10m_Max,WCNV.,GnTmp3_10m_Max,"Converter temperature phase L3, generator side",�C,Maximum,Double,10 minute tag
WCNV.GnTmp3_10m_Min,WCNV.,GnTmp3_10m_Min,"Converter temperature phase L3, generator side",�C,Minimum,Double,10 minute tag
WCNV.GnTmp3_10m_Std,WCNV.,GnTmp3_10m_Std,"Converter temperature phase L3, generator side",�C,Standard Deviation,Double,10 minute tag
WCNV.GriA,WCNV.,GriA,Current of all three phases at the converter level,A,Live Value,Double,Live Value
WCNV.GriA_10m_Avg,WCNV.,GriA_10m_Avg,Current of all three phases at the converter level,A,Average,Double,10 minute tag
WCNV.GriA_10m_Max,WCNV.,GriA_10m_Max,Current of all three phases at the converter level,A,Maximum,Double,10 minute tag
WCNV.GriA_10m_Min,WCNV.,GriA_10m_Min,Current of all three phases at the converter level,A,Minimum,Double,10 minute tag
WCNV.GriA_10m_Std,WCNV.,GriA_10m_Std,Current of all three phases at the converter level,A,Standard Deviation,Double,10 minute tag
WCNV.GriA1,WCNV.,GriA1,Current of phase L1 at the converter level,A,Live Value,Double,Live Value
WCNV.GriA1_10m_Avg,WCNV.,GriA1_10m_Avg,Current of phase L1 at the converter level,A,Average,Double,10 minute tag
WCNV.GriA1_10m_Max,WCNV.,GriA1_10m_Max,Current of phase L1 at the converter level,A,Maximum,Double,10 minute tag
WCNV.GriA1_10m_Min,WCNV.,GriA1_10m_Min,Current of phase L1 at the converter level,A,Minimum,Double,10 minute tag
WCNV.GriA1_10m_Std,WCNV.,GriA1_10m_Std,Current of phase L1 at the converter level,A,Standard Deviation,Double,10 minute tag
WCNV.GriA2,WCNV.,GriA2,Current of phase L2 at the converter level,A,Live Value,Double,Live Value
WCNV.GriA2_10m_Avg,WCNV.,GriA2_10m_Avg,Current of phase L2 at the converter level,A,Average,Double,10 minute tag
WCNV.GriA2_10m_Max,WCNV.,GriA2_10m_Max,Current of phase L2 at the converter level,A,Maximum,Double,10 minute tag
WCNV.GriA2_10m_Min,WCNV.,GriA2_10m_Min,Current of phase L2 at the converter level,A,Minimum,Double,10 minute tag
WCNV.GriA2_10m_Std,WCNV.,GriA2_10m_Std,Current of phase L2 at the converter level,A,Standard Deviation,Double,10 minute tag
WCNV.GriA3,WCNV.,GriA3,Current of phase L3 at the converter level,A,Live Value,Double,Live Value
WCNV.GriA3_10m_Avg,WCNV.,GriA3_10m_Avg,Current of phase L3 at the converter level,A,Average,Double,10 minute tag
WCNV.GriA3_10m_Max,WCNV.,GriA3_10m_Max,Current of phase L3 at the converter level,A,Maximum,Double,10 minute tag
WCNV.GriA3_10m_Min,WCNV.,GriA3_10m_Min,Current of phase L3 at the converter level,A,Minimum,Double,10 minute tag
WCNV.GriA3_10m_Std,WCNV.,GriA3_10m_Std,Current of phase L3 at the converter level,A,Standard Deviation,Double,10 minute tag
WCNV.GriFilTmp1,WCNV.,GriFilTmp1,Grid filter temperature phase L1,�C,Live Value,Double,Live Value
WCNV.GriFilTmp1_10m_Avg,WCNV.,GriFilTmp1_10m_Avg,Grid filter temperature phase L1,�C,Average,Double,10 minute tag
WCNV.GriFilTmp1_10m_Max,WCNV.,GriFilTmp1_10m_Max,Grid filter temperature phase L1,�C,Maximum,Double,10 minute tag
WCNV.GriFilTmp1_10m_Min,WCNV.,GriFilTmp1_10m_Min,Grid filter temperature phase L1,�C,Minimum,Double,10 minute tag
WCNV.GriFilTmp1_10m_Std,WCNV.,GriFilTmp1_10m_Std,Grid filter temperature phase L1,�C,Standard Deviation,Double,10 minute tag
WCNV.GriFilTmp2,WCNV.,GriFilTmp2,Grid filter temperature phase L2,�C,Live Value,Double,Live Value
WCNV.GriFilTmp2_10m_Avg,WCNV.,GriFilTmp2_10m_Avg,Grid filter temperature phase L2,�C,Average,Double,10 minute tag
WCNV.GriFilTmp2_10m_Max,WCNV.,GriFilTmp2_10m_Max,Grid filter temperature phase L2,�C,Maximum,Double,10 minute tag
WCNV.GriFilTmp2_10m_Min,WCNV.,GriFilTmp2_10m_Min,Grid filter temperature phase L2,�C,Minimum,Double,10 minute tag
